"TCGA.24.1553.01A"	"TCGA.24.1422.01A"	"TCGA.36.1569.01A"	"TCGA.36.1581.01A"	"TCGA.24.1603.01A"	"TCGA.29.1710.01A"	"TCGA.29.1688.01A"	"TCGA.24.1467.01A"	"TCGA.24.1923.01A"	"TCGA.24.2027.01A"	"TCGA.24.1550.01A"	"TCGA.24.1557.01A"	"TCGA.24.1563.01A"	"TCGA.24.1104.01A"	"TCGA.61.1724.01A"	"TCGA.24.1464.01A"	"TCGA.29.2427.01A"	"TCGA.25.1318.01A"	"TCGA.29.1766.01A"	"TCGA.13.1483.01A"	"TCGA.25.1312.01A"	"TCGA.24.1105.01A"	"TCGA.13.1410.01A"	"TCGA.13.1488.01A"	"TCGA.24.2023.01A"	"TCGA.13.1507.01A"	"TCGA.29.1770.01A"	"TCGA.29.1776.01A"	"TCGA.29.1693.01A"	"TCGA.29.1769.01A"	"TCGA.24.1544.01A"	"TCGA.24.1428.01A"	"TCGA.24.2020.01A"	"TCGA.30.1891.01A"	"TCGA.25.2409.01A"	"TCGA.25.1329.01A"	"TCGA.24.1430.01A"	"TCGA.61.1911.01A"	"TCGA.30.1866.01A"	"TCGA.24.2298.01A"	"TCGA.25.1628.01A"	"TCGA.13.1489.01A"	"TCGA.29.1774.01A"	"TCGA.61.1910.01A"	"TCGA.23.1123.01A"	"TCGA.61.1914.01A"	"TCGA.25.2399.01A"	"TCGA.24.1431.01A"	"TCGA.29.1762.01A"	"TCGA.24.1565.01A"	"TCGA.24.1416.01A"	"TCGA.29.1696.01A"	"TCGA.61.1907.01A"	"TCGA.25.1316.01A"	"TCGA.24.2261.01A"	"TCGA.61.1995.01A"	"TCGA.25.1630.01A"	"TCGA.24.1558.01A"	"TCGA.13.2060.01A"	"TCGA.09.2056.01A"	"TCGA.24.1604.01A"	"TCGA.24.2290.01A"	"TCGA.29.1705.01A"	"TCGA.29.1711.01A"	"TCGA.36.1570.01A"	"TCGA.25.1323.01A"	"TCGA.59.2348.01A"	"TCGA.25.1623.01A"	"TCGA.25.1631.01A"	"TCGA.24.2033.01A"	"TCGA.24.1103.01A"	"TCGA.25.1322.01A"	"TCGA.13.1499.01A"	"TCGA.36.1580.01A"	"TCGA.61.1741.01A"	"TCGA.36.1577.01A"	"TCGA.25.1320.01A"	"TCGA.13.1497.01A"	"TCGA.61.1919.01A"	"TCGA.24.1552.01A"	"TCGA.24.1562.01A"	"TCGA.25.1321.01A"	"TCGA.25.2396.01A"	"TCGA.24.1474.01A"	"TCGA.59.2352.01A"	"TCGA.29.1785.01A"	"TCGA.61.1918.01A"	"TCGA.25.1313.01A"	"TCGA.23.1122.01A"	"TCGA.25.1635.01A"	"TCGA.25.1319.01A"	"TCGA.24.1435.01A"	"TCGA.13.1511.01A"	"TCGA.13.1492.01A"	"TCGA.25.2404.01A"	"TCGA.24.2288.01A"	"TCGA.24.2267.01A"	"TCGA.29.1768.01A"	"TCGA.13.1404.01A"	"TCGA.25.2400.01A"	"TCGA.36.1571.01A"	"TCGA.24.2289.01A"	"TCGA.29.1697.01A"	"TCGA.59.2351.01A"	"TCGA.24.1551.01A"	"TCGA.61.1900.01A"	"TCGA.13.1485.01A"	"TCGA.29.1763.01A"	"TCGA.36.1576.01A"	"TCGA.61.2008.01A"	"TCGA.29.2414.01A"	"TCGA.29.1690.01A"	"TCGA.24.2024.01A"	"TCGA.61.2088.01A"	"TCGA.29.1777.01A"	"TCGA.13.1501.01A"	"TCGA.13.1495.01A"	"TCGA.13.1487.01A"	"TCGA.13.1409.01A"
"ACSS3"	0.227725	-0.04155	-0.25398	0.0835	-1.05	-0.46855	-0.817775	-0.723	0.427	-0.111	-1.67	-0.10055	-0.0739	-0.116	-0.27775	0.55345	-0.53055	-0.92755	-0.19465	-0.66555	0.28845	0.113	-0.85555	-0.228	-0.952	-0.66055	-0.259948	-0.309	0.181725	-0.60355	0.23245	-0.684	-0.706	-0.40655	0.893725	-0.09555	-0.199375	0.251225	0.709	0.47645	-0.436275	-0.297375	-0.301	-1.52955	-0.501	-0.631	0.69145	-0.50855	-1.005775	1.08045	0.57545	-0.36355	-0.958275	-0.636	0.03445	-0.058325	0.156	-0.71255	-0.42055	-0.92155	-0.0621	-0.822775	-0.09655	-0.66555	0.11045	-0.33035	0.56845	-0.142275	0.25045	0.55445	-1.056275	-0.03855	-0.0132	0.50245	-0.422275	-0.75655	-0.267	-0.41755	-0.584	1.25	-0.477775	0.445	0.17045	-0.259152	-0.01655	-0.16	0.16145	-0.44155	-0.46255	-0.0771	-0.0417	-1.629275	-1.08555	-0.94355	0.385875	0.00191	0.665	-0.857875	0.17945	-0.578	0.12145	-0.198775	0.474225	-0.30685	0.0224	-0.469	0.12145	-0.212625	-0.469	-0.490275	0.139	0.47045	1.025225	0.30145	-0.312	-0.46655	0.223	-0.09055	-0.59455
"FAM50A"	0.367525	-0.06495	-0.12195	-0.445	-0.168	0.12755	0.341875	-0.281	-0.0457	-0.00133	-0.0416	0.29805	-0.278	0.118	0.36905	-0.13195	0.27405	-0.04795	-0.21295	0.18305	-0.17195	-0.48	0.06303	-0.0711	0.00231	0.12855	0.27005	-0.258	-0.017825	0.80605	-0.34095	0.209	0.205	-0.34095	0.262525	0.08985	0.125325	0.043525	-0.375	0.05445	-0.045625	0.367025	0.0871	0.40205	0.23	-0.107	-0.19195	-0.15495	1.443025	-0.31695	-0.10895	-0.45495	0.353525	-0.386	0.073	0.181325	0.554	0.28905	-0.26295	0.53105	-0.37	0.834525	0.39905	-0.03695	0.21105	0.25305	0.49305	-0.173975	-0.53195	-0.13395	0.244525	0.25805	-0.216	-0.11295	0.05401	-0.03155	-0.0477	0.20505	-0.138	0.917	0.072525	-0.0717	0.27005	0.77305	-0.43295	-0.418	-0.13395	0.27905	0.04045	0.149	-0.238	0.370025	0.49405	0.65305	0.100035	0.156	-0.434	-0.348975	-0.21395	-0.236	-0.01785	-0.302475	0.573525	0.41505	-0.487	0.267	-0.00945	0.421525	0.069	0.921025	-0.326	-0.73195	-0.398975	-0.16395	0.475	-0.12195	0.394	0.13185	-0.43995
"SLC9A3R1"	-0.19884375	-0.4160425	-0.0763975	-0.291	0.267	-0.7160425	0.10402875	-0.0551	-0.3	0.172	-0.389	0.1319575	0.107	-0.0589	-0.0723025	0.3289575	-0.4820425	0.8359575	-0.4330425	-0.5790425	-0.2810425	-0.405	-0.1177425	-0.349	0.405	0.4109575	0.2839575	0.653	0.28947875	-0.4680425	-0.7360425	-0.512	0.584	-0.2880425	0.34497875	0.3929575	0.09997875	-0.13377125	0.146	0.8539575	-0.17652125	-0.69802125	0.502	-0.2450425	-0.166	0.774	-0.0446425	0.2179575	-0.09622125	1.0529575	0.4789575	0.3799575	0.37947875	0.0865	-0.1910425	-0.05787125	0.287	-0.2360425	-0.0298425	0.6609575	-0.462	-0.36702125	0.8419575	0.0135575	0.4309575	-0.1503425	1.6229575	0.06847875	0.4009575	0.4059575	1.05247875	-0.1950425	-0.157	-0.0846225	0.25947875	-0.8140425	-0.548	-0.3710425	-0.349	1.41	-0.32902125	0.745	-0.0980425	-0.2900425	0.0979575	0.141	-0.1137425	0.7399575	-0.5560425	0.602	0.17	-0.63952125	0.4829575	-0.1309425	-0.10552125	0.209	-0.266	-0.70052125	-0.5340425	-0.0737	1.1929575	-0.06542125	-0.06102125	0.6219575	-0.825	0.163	0.1259575	0.39197875	-0.271	-0.01278625	-0.325	0.3579575	0.26997875	0.2899575	-0.243	-0.0385425	-0.177	-0.6910425	-1.0770425
"ERMP1"	0.4829025	-0.523195	-0.564195	0.916	0.512	-0.075516	-0.0418975	0.337	0.0818	0.0974	0.559	-0.120995	0.162	0.21	-0.065955	-0.327195	0.010605	-0.110295	-0.636195	-1.029195	0.072805	-0.381	-0.467195	-0.00659	0.173	0.521805	-0.443195	-0.177	-0.5810975	-0.177195	0.365805	0.118	-0.658	-0.353195	-0.2729475	0.111805	-0.4240975	-0.0265475	0.114	0.944805	0.0678525	0.4829025	-0.459	-1.005195	-1.06	-0.219	-0.763195	0.303805	0.4894025	0.235805	-0.134195	0.131805	-0.3850975	0.218	-0.247195	0.3734025	0.0194	0.142805	-0.498195	-0.960195	-0.274	0.5719025	-0.547195	0.432805	-0.175195	-0.059495	-0.283195	0.0219025	0.445805	0.133805	0.8944025	-0.192195	-0.343	-0.592195	1.4724025	0.744805	0.269	-0.058095	0.0577	-0.416	0.2189025	-0.673	0.273805	0.505805	-0.303195	0.423	-0.148195	-0.722195	0.295805	0.541	0.0139	-0.0985475	0.913805	0.842805	-0.2300975	-0.00191	0.454	-0.6110975	0.212805	0.0145	-0.827195	-0.6015975	0.0767025	0.086805	0.115	-0.376	-0.216195	0.1929025	-0.42	-0.3775975	0.144	-0.068405	-0.8240975	0.729805	0.428	-0.267195	-0.00791	0.659805	-0.525195
"GSPT1"	-0.3225025	0.431995	-0.281005	0.475	0.398	-0.240005	-0.0404525	0.152	-0.321	-0.227	0.369	-0.151005	0.00865	-0.359	-0.367005	-0.117005	-0.007855	-0.170005	-0.165005	0.298995	-0.165005	-0.162	-0.289005	-0.117	0.0668	-0.119005	0.032595	-0.0452	-0.1174025	0.040995	-0.092305	0.231	0.1	0.009995	-0.1546525	-0.123005	-0.1871525	-0.0201975	-0.149	-0.436005	-0.0701575	-0.0570775	0.433	0.296995	-0.0956	0.0811	0.990995	-0.194005	0.0118475	-0.062805	0.121995	0.120995	-0.1700025	0.0374	0.210995	-0.2535025	-0.0635	2.220995	0.234995	0.100995	0.233	-0.4665025	0.085495	-0.452005	-0.775005	-0.269005	-0.452005	0.1196975	0.055595	-0.215005	0.1334975	0.146995	-0.204	-0.102105	-0.1836525	0.423995	-0.129	-0.590005	0.0784	-0.253	-0.1767025	0.111	-0.196005	0.273995	-0.148005	0.206	0.273995	0.115995	-0.263005	0.0894	0.00117	0.3219975	0.767995	0.474995	-0.2825025	-0.182	-0.129	-0.0430025	0.073895	-0.163	0.006195	0.0226975	0.4114975	-0.117005	-0.00969	0.081	-0.108305	0.0749475	-0.202	-0.2550025	-0.146	0.025195	0.2719975	-0.575005	-0.203	0.184995	-0.222	0.148995	0.169995
"CMAS"	0.692	0.716	0.516	0.175	0.251	0.305	-0.4565	-0.197	0.632	-0.104	-0.00992	0.269	-0.572	0.508	0.965	-0.151	-0.249	0.1553	-0.195	-0.546	0.926	-0.804	-0.197	0.0882	0.123	-0.235	-0.559	-0.185	0.249	1.418	0.62	-0.428	0.204	1.258	0.4325	3.778	-0.228	0.351	-0.0821	-0.005	-0.088	-0.1147	-0.0356	-1.272	-0.0272	0.0383	-0.308	0.1279	-0.141	1.218	0.047	0.926	0.35	0.299	-0.21	-0.102	0.967	-0.223	-0.368	0.061	0.236	0.549	-0.398	1.368	-0.261	0.2084	0.467	0.20775	0.443	0.669	-0.16415	0.361	0.435	0.42	0.4465	0.2166	-0.158	0.1543	-0.197	-0.746	-0.4655	0.74	0.751	1.498	0.494	-0.464	0.533	0.2428	-0.402	0.183	-0.155	-0.828	0.005	-0.225	0.2095	0.0668	0.327	-0.369	0.357	0.313	0.648	-0.033	0.0249	-0.088	0.256	0.342	0.569	0.475	0.283	0.15534	-0.249	0.865	-0.2035	2.318	0.346	0.2339	0.274	-0.269	0.65
"TIMM44"	-0.4514875	0.021725	-0.189975	0.62	-0.22	-0.336975	0.0679125	0.102	-0.256	0.388	-0.34	0.059325	0.0608	-0.159	-0.341975	0.386025	-0.399975	0.212025	0.351025	-0.404975	0.059225	0.198	0.299025	-0.079	0.217	-0.000275	0.392025	0.144	0.1775125	-0.261975	0.212025	-0.406	0.101	0.518025	1.2715125	-0.344975	-0.3829875	0.0650625	-0.224	0.937025	-0.5429875	-0.0474375	-0.635	0.770025	0.155	-0.211	1.483025	0.107025	-0.3879875	0.073025	-0.203975	-0.640975	-0.5704875	-0.611	-0.364975	0.1751125	-0.453	0.553025	0.538025	-0.337975	0.0193	0.0100125	0.497025	0.407025	0.781025	-0.361975	0.635025	-0.0073375	-0.242975	0.047825	0.0931375	0.210025	0.0888	-0.008225	-0.0021375	-0.254975	-0.368	0.378025	0.119	-0.0171	0.1490125	0.178	0.276025	0.497025	-0.389975	-0.0469	0.758025	-0.109775	-0.566975	-0.696	-0.217	-0.4109875	-0.037875	-0.104575	-0.1103375	0.115	0.0996	-0.2534875	-0.488975	-0.0442	-0.113675	0.1295625	-0.0413375	-0.182975	0.303	-0.188	-0.018775	-0.0754875	-0.316	0.3955125	0.108	-0.515975	-0.4564875	0.108025	0.216	-0.393975	-0.223	-0.047275	-0.477975
"NAA15"	0.2306975	0.068635	-0.040605	0.442	-0.0838	-0.022305	-0.1222025	0.0226	-0.194	-0.427	-0.531	0.182395	-0.489	-0.00559	-0.186605	0.164495	0.160295	-0.199605	0.273395	0.258395	0.108895	0.251	0.158995	-0.00292	-0.104	0.326395	0.032395	-0.623	0.1091975	-0.051605	-0.104605	0.056	0.0721	-0.140605	0.2361475	-0.206605	0.2801975	-0.0362575	0.597	0.127095	0.0248425	0.1535975	0.34	0.290395	0.245	0.0922	0.370395	0.203395	0.1171975	0.177395	-0.059605	-0.185605	-0.0040025	-0.124	0.007895	0.0451475	-0.105	0.418395	0.840395	-0.194605	0.0802	0.4646975	-0.177605	0.598395	-0.139605	-0.064605	-0.032605	0.3756975	-0.386605	0.257395	-0.4503025	-0.159605	-0.108	-0.346605	0.0441975	0.241395	0.0951	0.168695	0.42	0.18	-0.1093025	-0.227	0.253395	0.451395	-0.037605	0.238	-0.036605	-0.161605	-0.200605	0.173	0.0685	0.2028475	-0.583605	0.003295	-0.0527075	-0.0445	0.0371	-0.2488025	-0.216605	0.195	0.119395	-0.1088025	0.0611975	0.048295	-0.115	-0.271	0.058995	0.6941975	0.305	0.0703025	-0.144	-0.172605	0.4581975	0.218395	-0.241	0.343395	-0.194	-0.027605	-0.108605
"CMBL"	-0.382235	-1.00547	0.17053	0.705	1.23	-0.52647	0.935765	-0.256	1.46	-0.228	0.556	0.24953	-0.369	-0.601	0.32553	0.45453	-0.17847	1.08653	0.05953	0.73353	-0.81147	0.21	-0.88347	-0.731	-0.87	-1.06647	0.33153	0.0797	-1.141235	0.07953	-0.70147	-0.738	0.635	-0.19247	-0.978735	-0.89847	0.023865	-0.846735	-0.72	-0.11117	-0.249435	-0.217235	0.799	-1.75347	-0.102	0.0685	-0.21547	-1.22347	0.228765	1.10653	1.01653	1.51653	-0.495235	0.446	-0.61647	0.149115	-0.265	0.91353	0.92653	1.03653	0.632	-0.098535	-0.70647	-2.12347	-0.63047	-0.29247	-0.07001	0.132265	0.01823	0.65453	1.098265	-0.05437	-0.535	-0.42447	-0.345735	-0.58347	-0.487	-1.19347	-0.0481	-1.43	-0.270235	-0.358	0.90053	-0.77547	0.21253	-0.28	0.39553	-0.12947	-0.29647	-0.28	0.302	-0.793735	-0.54547	2.57653	0.170035	-1.42	-0.905	-0.133735	0.43253	-0.0116	-1.23347	0.212765	1.362765	-0.58947	-0.134	0.619	0.89253	0.666265	-0.578	-0.356285	-0.238	-0.72647	0.414265	-0.07723	0.587	-0.28447	0.483	-0.86647	1.21653
"OXCT1"	-0.3815	-0.328	0.382	0.373	0.486	-0.582	-0.362	0.363	-0.29	-0.599	-0.513	-0.591	-0.00795	-0.182	0.754	-0.851	-0.593	1.478	0.285	-1.122	-0.526	-0.315	-0.51	0.193	-0.85	0.928	-0.1303	0.0702	-0.07395	0.233	0.523	0.82	-0.778	0.782	0.353	0.721	0.2835	-0.9765	0.212	1.788	-0.1075	0.7945	0.67	-0.319	-0.0578	-0.164	0.073	0.524	0.3385	-0.1842	-0.0559	-0.0089	-0.674	0.587	0.77	0.376	-0.377	-0.738	0.049	-0.1775	0.799	-1.169	-0.245	0.117	-0.32	-0.557	0.656	0.1635	-0.596	0.661	0.835	-0.469	-0.333	-0.196	0.439	0.124	-0.671	-0.1503	-0.725	0.104	-0.5	-0.142	0.988	1.648	-0.394	-0.853	-1.051	-0.264	-0.2	-0.307	-0.0039	-0.54	-0.71	2.308	-0.4755	0.489	-0.0789	-0.3215	1.038	0.473	-0.0535	-0.6815	0.27285	0.79	-0.403	-0.0917	0.284	0.07545	-0.736	0.2885	-0.211	-0.1607	-0.537	0.431	0.378	-0.0156	-0.156	-0.1613	0.411
"CTPS2"	-0.172645	-0.13229	-0.51829	-0.00862	0.0603	-0.96529	0.225205	0.328	-0.0201	0.0368	0.116	0.40571	0.0281	-0.0472	0.51671	-0.44729	0.39671	-0.34029	0.09781	0.39271	-0.32129	-0.563	-0.18329	-0.305	0.0216	-0.00199	0.05096	-0.395	-0.168695	-0.06129	0.25771	-0.151	0.864	0.31571	0.072305	-0.37229	-0.198145	-0.427145	-0.272	-0.17129	-0.383645	-0.001145	0.454	-0.04729	-0.085	0.154	-0.31029	-0.31729	0.764855	0.54071	-0.04039	-0.03239	-0.099145	0.0345	-0.05429	0.121555	0.515	0.61171	0.70871	0.03221	0.262	0.242355	-0.72829	0.07671	0.12131	-0.02859	-0.04119	-0.418645	0.63671	-0.31529	0.136105	0.53571	-0.145	-0.16329	0.109955	1.33471	-0.664	1.03971	-0.451	-0.463	-0.032345	-0.202	-0.15129	0.22271	0.57871	-0.406	0.88071	0.64871	0.47971	0.194	-0.285	0.225555	0.37371	0.57971	-0.140145	-0.215	0.176	-0.132235	0.07071	1.26	-0.10829	-0.615145	0.584855	0.17871	-0.0362	0.559	0.11331	0.218405	-0.25	0.031455	0.0782	-0.20429	0.201855	-0.33229	0.052	0.04211	0.632	0.01701	-0.33629
"NPEPPS"	-0.2955	-0.195	-0.0319	-0.108	0.281	0.06	-0.559	0.289	0.132	-0.068	0.0889	-0.168	0.223	0.184	0.213	-0.216	-0.28	0.159	0.119	-0.4	-0.356	0.00832	-0.176	-0.00847	0.143	0.238	-0.05912	-0.23	-0.0049	-0.1197	-0.0047	-0.329	-0.177	-0.142	-0.264	0.194	-0.0932	-0.2825	0.0533	0.647	0.06155	-0.268	-0.016	-0.811	-0.246	0.523	-0.472	0.08	-0.4615	0.295	0.081	0.366	-0.17085	-0.105	-0.0398	-0.10485	-0.0203	-0.06892	0.285	0.147	-0.103	0.3955	-0.0381	0.777	-0.0217	-0.235	-0.315	-0.3075	-0.07002	-0.34	0.04165	-0.0112	0.203	-0.0473	0.051735	-0.665	0.0674	-0.142	-0.0542	0.384	-0.00995	0.12	0.116	0.211	-0.1271	0.0218	-0.208	0.0046	-0.0549	-0.02	0.408	0.292	-0.364	-0.251	0.1705	-0.0735	0.291	0.0682	0.15	-0.0604	0.0281	-0.035	-0.2354	-0.433	-0.197	0.435	0.102	0.207	-0.151	0.1975	-0.0361	0.215	-0.4095	-0.189	-0.157	-0.1395	0.459	0.209	-0.191
"LYPLA2"	0.00975	-0.0589	-0.3918	-0.0554	0.152	0.4622	-0.4029	0.607	-0.408	-0.609	0.0413	-0.07406	0.0217	0.88	0.0084	-0.4728	-0.5888	0.2842	0.3622	0.1812	0.4352	0.438	-0.3128	-0.158	0.637	0.3652	-0.4238	0.671	-0.0448	0.3762	0.3822	-0.392	-0.0399	-0.2188	0.3551	-0.0222	-0.4769	0.5601	-0.249	-0.0412	0.13042	-0.19955	-0.573	0.5592	0.247	-0.0105	0.3522	0.4412	-0.4519	-0.2768	-0.06844	-0.4908	0.1931	-0.258	-0.6348	0.1861	-0.144	0.5032	0.7852	-0.6268	-0.153	-0.5019	-0.1698	0.6372	0.1742	0.0932	-0.4488	0.49895	0.0652	0.0732	-0.4299	-0.0428	-0.00374	-0.2898	0.4026	-0.2708	-0.0744	0.0772	-0.448	-0.216	0.4191	0.03	-0.3028	1.5652	-0.1808	-0.484	0.2212	-0.2678	-0.0821	-0.0254	0.319	-0.4344	0.4262	0.0153	-0.5089	-0.714	0.286	-0.7684	0.1432	-0.791	-0.07441	-0.0314	-0.0364	-0.6338	-0.13	-0.416	0.1292	-0.1554	-0.155	-0.0131	-0.235	-0.2908	-0.7544	0.9352	0.209	-0.1441	-0.291	-0.1341	0.2212
"IVD"	0.234375	-0.03555	0.38175	-0.682	-0.468	-0.81125	0.110575	-0.403	0.0638	0.489	-0.684	0.00975	0.185	0.432	-0.31225	0.68275	0.05625	0.15575	-0.51625	0.48975	-0.38525	0.0649	-0.77025	-0.41	-0.561	-0.07215	-0.18025	0.0609	-0.206625	-0.26725	0.09875	-0.354	-0.765	0.20975	1.123375	-0.29725	-0.386125	-0.887625	-0.527	0.55775	-0.279625	0.231875	0.0245	0.36775	0.142	-0.465	0.68175	0.07965	-0.442125	0.89475	-0.01245	0.62775	0.087175	-0.458	-0.25025	0.145375	-0.0718	-0.17225	-0.03605	-0.14825	1	0.263175	-0.24925	-0.59225	0.32175	-0.52825	-0.28825	-0.338625	0.21675	0.45575	0.079875	-0.51725	-1.09	0.35875	-0.746625	-0.07075	-0.917	-0.55625	-0.215	0.00751	-0.01318	0.485	0.18475	-0.09885	0.15975	0.335	0.52375	0.14875	-0.90325	0.319	-0.0321	-0.762125	-0.00555	0.49775	0.248375	-0.414	0.166	-0.701125	0.73575	0.492	0.60775	0.164575	-0.061375	-0.22225	-0.301	-0.715	0.20175	-0.253125	-0.519	-0.497625	-0.522	0.57375	0.517875	0.88975	-0.458	-0.40825	-0.888	-0.40625	-0.26525
"DNAJA3"	-0.5279975	-0.367995	-0.312995	0.368	0.508	-0.286895	-0.1409975	0.199	-0.38	-0.483	0.0967	0.216005	0.419	-0.0573	-0.238895	0.201005	0.069005	0.145005	-0.425995	0.008005	-0.474995	0.341	-0.616995	-0.344	-0.191	-0.118795	0.004005	0.289	-0.0821475	0.037005	0.181005	-0.00474	-0.515	0.437005	0.0319025	0.076005	-0.4489975	-0.2176175	-0.0168	-0.010995	-0.3569975	-0.1222975	0.409	-0.111395	0.0841	0.138	1.729005	-0.407995	-0.4434975	0.452005	0.282005	-0.020995	-0.2924975	-0.576	-0.211695	-0.4364975	-0.642	-0.970995	-0.201519	0.060005	0.509	0.067194	-0.254595	-0.672995	-0.374995	-0.231895	-0.227395	0.8265025	-0.126795	0.391005	0.2090025	-0.461995	-0.425	-0.267395	-0.3891475	0.222005	-0.492	-0.472995	-0.352	0.202	-0.3819975	0.28	0.013005	-0.391995	-0.346995	-0.785	0.317005	-0.200471	-0.554995	-0.322	-0.0136	-0.0624475	-0.399995	-0.038995	-0.4084975	-0.0292	-0.159	-0.7529975	0.105005	1.02	-0.171695	0.4455025	-0.1074475	0.075005	-0.21	-0.489	-0.238695	-0.0514975	-0.744	-0.0341475	0.358	-0.484995	-0.1684975	-0.217695	-0.38	0.087005	-0.362	-0.357995	-0.378995
"CRK"	0.04989	-0.07541	0.1204	-0.472	-0.154	0.1354	-0.4678	0.182	0.0702	0.141	-0.504	0.0454	0.037	-0.151	0.4374	-0.1716	0.2644	0.1474	-0.0532	-0.0919	-0.1353	-0.319	0.0037	0.147	-0.427	-0.1693	-0.0909	-0.135	-0.1558	-0.0678	-0.2426	0.909	0.244	0.0514	-0.09625	-0.2846	-0.1427	-0.2598	0.958	-0.2026	-0.03565	-0.2783	0.354	0.5564	0.618	-0.334	-0.2586	-0.8146	-0.2683	-0.1966	0.1834	-0.3656	-0.1016	0.301	-0.1522	-0.2198	-0.0907	0.7904	0.2934	-0.3296	0.176	-0.031295	-0.0945	-0.4756	-0.4806	0.1054	-0.3446	-0.4098	-0.0869	0.1074	-0.2137	-0.0653	0.145	0.3324	-0.0647	-0.3926	-0.0906	-0.07629	-0.344	-0.143	-0.1468	0.202	-0.1015	0.0684	0.8204	-0.281	-0.3506	0.2914	0.1754	0.0641	-0.325	-0.084035	-0.2806	-0.1064	0.13715	0.0856	-0.149	-0.3103	-0.2696	0.744	-0.0265	0.0294	0.3372	0.1004	-0.167	0.41	-0.0459	0.1677	0.162	0.3137	-0.286	0.0674	0.3357	-0.1654	-0.105	0.0704	0.159	-0.1796	-0.1068
"CUL5"	0.07055	0.2163	-0.0987	-0.14	-0.114	-0.2937	-0.35485	0.0609	0.201	0.459	-0.126	0.04954	0.146	0.0334	-0.0867	0.2193	0.1526	-0.1197	-0.1547	-0.1547	0.3123	0.0309	-0.1837	-0.108	-0.249	-0.2047	-0.3577	0.79	0.25215	-0.3267	0.0283	0.576	-0.34	0.0846	0.0391	-0.3077	-0.46735	-0.42385	-0.0688	-0.1297	-0.11085	0.73965	0.236	-0.1577	0.0367	0.399	0.0454	0.1167	0.09155	0.2053	0.0027	-0.0907	0.51415	0.202	-0.3007	0.1013	0.593	0.043	-0.4137	-0.3567	0.493	-0.25085	-0.2687	-0.1707	0.2213	0.1384	-0.3797	0.00115	0.5963	0.1415	0.34015	0.0303	-0.0804	-0.0229	-0.02915	0.0928	-0.17	0.4643	0.0887	-0.252	-0.35185	0.137	0.2963	0.0024	0.3343	0.197	0.3403	0.0173	-0.1187	-0.0569	-0.203	0.34365	0.1963	-0.4137	0.129705	-0.0413	-0.313	0.15465	0.0216	-0.0308	-0.1697	0.22965	0.20865	-0.3457	-0.102	-0.0735	0.0104	0.43515	-0.000124	0.40665	-0.364	0.1973	0.18835	0.4183	-0.0856	0.2323	-0.148	0.4443	0.1693
"FLOT2"	0.81275	0.4155	0.1675	0.599	0.448	0.0905	-0.16315	-0.226	0.00401	-0.72	-0.77	-0.2435	0.0431	0.32	-0.2575	0.8865	-0.1529	-0.3075	0.3105	0.0765	1.2405	0.0371	-0.1865	0.185	0.427	0.0635	-0.3735	-0.151	0.19625	-0.0168	-0.0475	-0.201	-0.348	-0.6145	-0.01012	-0.0454	-0.29325	0.18775	-0.531	0.1275	-0.27575	0.12175	-0.192	0.2305	-0.00545	-0.6	0.1155	1.7405	-0.46075	0.5995	-0.0393	-0.0495	-0.01825	-0.46	-0.1281	-0.1314705	0.0261	-0.060059	0.0362	0.4915	-0.0175	1.26525	-0.2305	1.2205	-0.3595	0.1785	-0.1995	-0.44625	-0.2485	-0.1589	-0.42175	0.0371	-0.306	0.2135	0.14225	0.1615	-0.15	-0.0126	-0.0375	-0.357	0.00775	0.215	0.3295	0.2615	0.1805	-0.501	0.5455	-0.1725	-0.1208	-0.0676	0.554	-0.65625	1.4305	-0.3175	0.12345	0.0809	0.0593	-0.02835	-0.2705	-0.00491	0.016	-0.50725	-0.40125	0.5995	0.476	-0.415	-0.0959	-0.053825	0.116	-0.75375	0.288	0.5435	-0.32175	0.5345	-0.0346	-0.3645	-0.402	-0.0367	-0.4105
"PITPNA"	0.015025	-0.03495	0.10705	-0.367	-0.00201	0.09745	0.075525	-0.0177	-0.32	0.026	-0.811	0.42905	-0.164	-0.00141	0.67805	-0.01045	0.84405	0.21305	-0.00775	-0.03895	0.05285	-0.887	0.07526	-0.263	0.0228	0.04085	-0.14695	-0.0187	0.135025	-0.10495	0.07041	0.909	-0.259	-0.31395	-0.083975	0.12885	0.191075	0.187525	0.877	-0.04095	0.228525	0.104425	0.416	0.63405	0.13	-0.29	-0.55195	-0.65395	0.320025	0.27805	-0.33995	-0.09495	-0.066975	0.994	-0.12495	-0.281475	0.128	-0.18695	0.11715	-0.27995	-0.346	0.417525	-0.52295	-0.36695	-0.28995	-0.27495	0.26605	-0.097475	0.06439	-0.37295	0.283525	-0.05595	0.0399	0.55505	0.080675	-0.54595	-0.0606	0.76105	-0.0409	0.124	-0.200975	0.248	0.03035	0.38705	1.24805	-0.344	0.07342	0.44905	0.50605	0.189	-0.15	0.137025	-0.04695	-0.04595	-0.032675	0.00899	-0.313	0.113025	-0.05195	0.762	0.12935	-0.079525	0.493525	0.41105	0.299	0.451	0.12195	0.263025	0.0986	0.041525	-0.0608	0.48805	1.007025	-0.11395	-0.211	-0.03045	0.385	0.05595	0.09055
